FireID,StartDate,EndDate,DurationDays,AreaBurned_ha,Location,Cause,FireSeverityIndex,SuppressionCost_USD,CropLoss_USD,LivestockLoss_USD,IrrigationDamage_USD,RoadDamage_USD,PowerLineDamage_USD,BuildingDamage_USD,TimberLoss_USD,ReforestationCost_USD,AirQualityIndexChange,HospitalVisits,RespiratoryCases,HealthCost_USD,TourismRevenueLoss_USD,BusinessClosures,EmploymentLoss,RecoveryTime_Months,AidReceived_USD,InsurancePayout_USD,PredictedEconomicLoss_USD,ActualEconomicLoss_USD,RecoveryRecommendations,TotalAgriLoss_USD,InfraLoss_USD,EnvironmentalCost_USD,LossDeviation_USD,SupportRatio
F001,2023-09-18,2021-10-06,19,1599,Queensland,Lightning,8.4,8901927,3869927,23907,38222,704267,755019,1138610,454367,1367017,50.6,565,350,687807,3249886,57,173,26,4276955,4561732,21128827,22782109,"Job programs, rebuild housing, upgrade health facilities",3932056,3052263,2054824,1653282,0.39
F002,2022-07-12,2022-06-14,17,6423,Queensland,Human,7.7,18527182,1789351,190853,167743,142474,523139,2144322,1472216,606284,52.4,489,148,591343,3378600,70,71,14,9388295,3749024,29174911,29968336,"Support local hiring, rebuild eco-tourism infrastructure",2147947,4282151,1197627,793425,0.44
F003,2023-08-28,2022-09-08,13,4038,Arizona,Lightning,7.2,9762024,788865,124019,220115,958479,385385,828249,825426,868804,30.0,322,55,493512,2774571,32,154,18,6615089,1011736,17685315,16762594,"Rehabilitate tourism, replant forests, improve readiness",1132999,2997539,1362316,-922721,0.45
F004,2021-12-20,2022-02-23,15,7050,Nevada,Human,8.7,18397406,4831237,326511,139753,652933,532712,748464,1755268,1192792,54.2,323,105,339598,2561840,23,187,25,5649701,4390100,31012250,32149339,"Rehabilitate tourism, replant forests, improve readiness",5297501,3689377,1532390,1137089,0.31
F005,2022-12-03,2022-08-13,13,3498,New South Wales,Lightning,6.7,5672080,1389272,53807,214369,297112,710507,1578404,1494267,203277,32.4,170,389,293384,3253622,12,93,10,7932220,3132568,14891925,13417915,"Job programs, rebuild housing, upgrade health facilities",1657448,4080290,496661,-1474010,0.82
F006,2023-07-07,2021-12-13,13,2072,New South Wales,Human,8.0,13730389,854771,109889,156312,207178,265658,1645559,787491,1041084,35.0,251,258,224415,1682787,24,153,27,2373666,4407475,20439332,19711841,"Rehabilitate tourism, replant forests, improve readiness",1120972,2905886,1265499,-727491,0.34
F007,2021-02-02,2021-09-20,20,5146,Arizona,Lightning,8.8,13195891,2719224,48514,197213,554292,257718,2402759,1548165,664171,64.6,104,148,376588,2135814,63,92,17,7818898,2852990,23854622,21904838,"Rehabilitate tourism, replant forests, improve readiness",2964951,4762934,1040759,-1949784,0.49
F008,2023-09-03,2021-11-07,11,5294,Texas,Lightning,9.4,17622268,599503,22967,299982,584845,650668,727125,499838,1436548,33.6,321,253,379053,2731026,12,52,20,2606731,1822620,25230874,26807134,"Rehabilitate tourism, replant forests, improve readiness",922452,2462476,1815601,1576260,0.17
F009,2021-01-12,2023-01-09,14,7759,Colorado,Human,6.8,8696019,780015,157922,174314,500747,529723,1566896,533701,1139021,47.0,107,94,728636,3983477,10,100,13,9387554,5826966,18458235,18342833,"Improve rural fire stations, subsidies for affected families",1112251,3131067,1867657,-115402,0.83
F010,2021-08-09,2022-08-16,17,3167,Colorado,Lightning,8.4,5476996,1047438,302521,154391,580519,332666,1499501,1823354,382270,35.3,567,191,385090,3532807,51,50,10,8770676,1791484,15060641,14852919,"Subsidize tourism revival, offer SME recovery grants",1504350,4236040,767360,-207722,0.71
